SLOID,status
ch:1:sloid:91170::21,0
ch:1:sloid:90563::50,0
ch:1:sloid:76103::51,0
ch:1:sloid:90575::50,0
ch:1:sloid:90580::50,0
ch:1:sloid:76152::51,0
ch:1:sloid:95267::51,0
ch:1:sloid:3184::52,0
ch:1:sloid:76242::51,0
ch:1:sloid:76090::52,0
ch:1:sloid:90730::50,0
ch:1:sloid:90737::50,0
ch:1:sloid:76127::52,0
ch:1:sloid:73600::50,0
ch:1:sloid:75974::50,0
ch:1:sloid:90898::50,0
ch:1:sloid:90900::50,0
ch:1:sloid:88034::51,0
ch:1:sloid:88314::51,0
ch:1:sloid:90463::50,0
ch:1:sloid:90475::50,0
ch:1:sloid:87981::50,0
ch:1:sloid:88033::50,0
ch:1:sloid:90853::51,0
ch:1:sloid:90636::50,0
ch:1:sloid:90639::50,0
ch:1:sloid:88735::50,0
ch:1:sloid:91251::10,0
ch:1:sloid:90964::51,0
ch:1:sloid:90984::51,0
ch:1:sloid:91037::20,0
ch:1:sloid:90498::50,0
ch:1:sloid:90507::50,0
ch:1:sloid:91156::21,0
ch:1:sloid:76029::51,0
ch:1:sloid:76046::51,0
ch:1:sloid:90553::50,0
ch:1:sloid:90566::50,0
ch:1:sloid:90588::50,0
ch:1:sloid:91420::51,0
ch:1:sloid:91428::51,0
ch:1:sloid:93529::51,0
ch:1:sloid:3196::50,0
ch:1:sloid:76101::52,0
ch:1:sloid:3374::50,0
ch:1:sloid:3381::50,0
ch:1:sloid:3519::50,0
ch:1:sloid:76237::51,0
ch:1:sloid:90731::50,0
ch:1:sloid:90755::50,0
ch:1:sloid:90953::52,0
ch:1:sloid:90966::52,0
ch:1:sloid:73571::50,0
ch:1:sloid:73211::53,0
ch:1:sloid:73582::50,0
ch:1:sloid:73661::50,0
ch:1:sloid:75968::50,0
ch:1:sloid:90851::50,0
ch:1:sloid:90620::53,0
ch:1:sloid:3187::54,0
ch:1:sloid:73205::54,0
ch:1:sloid:76218::50,0
ch:1:sloid:90218::51,0
ch:1:sloid:90977::50,0
ch:1:sloid:73504::55,0
ch:1:sloid:90647::55,0
ch:1:sloid:73504::56,0
ch:1:sloid:77309::50,0
ch:1:sloid:91215::50,0
ch:1:sloid:90568::51,0
ch:1:sloid:95264::50,0
ch:1:sloid:91065::62,0
ch:1:sloid:3152::51,0
ch:1:sloid:90682::51,0
ch:1:sloid:91371::10,1
ch:1:sloid:91375::10,1
ch:1:sloid:91424::10,1
ch:1:sloid:76112::51,1
ch:1:sloid:30813::11,1
ch:1:sloid:73673::11,1
